created_at,tweet,sentiment
2019-05-27 02:37:02,"b""What's going on? Apple (AAPL) Holder Mastrapasqua Asset Management Has Lowered Position; Seidman Lawrence B Has Low\xe2\x80\xa6 https://t.co/l1KzuDi6hE""",0.0
2019-05-27 02:34:27,b'How much of Apples $AAPL cash in China with all the Rare Earth Metals? https://t.co/znvLl2hYdG',0.25
2019-05-27 02:34:25,b'$AAPL Apple 20 Day Hourly Impulse https://t.co/r2jQvcVfrE',0.0
2019-05-27 02:34:10,"b'RT @PokerTraderRay: FREE SIMULATED TRADING PLATFORM for new traders to get their feet wet trading,or for more advanced traders looking to t\xe2\x80\xa6'",0.2672727272727273
2019-05-27 02:30:05,b'ACTIVE TRADERS Try one of these FREE trading guides:\n\nhttps://t.co/JQ4zHjkFLf\n\n$NFLX $TSLA $AAPL $NKE $GS $FB $AMZN $GOOGL $NVDA',0.13333333333333336
2019-05-27 02:28:41,"b""RT @SharePlanner: The returns couldn't be better in the Splash Zone - see years of profits and returns going all the way back to 2011. Beco\xe2\x80\xa6""",0.25
2019-05-27 02:28:30,"b""Join @RobinhoodApp and we'll both get a stock like $AAPL, $F, or $S for free. Make sure to use my link.\n\nhttps://t.co/Uf8vW3lWlo""",0.45
2019-05-27 02:26:02,b'Apple (AAPL) Holder Stonehearth Capital Management Increased Holding; Parus Finance Uk LTD Lowered Its Apple (AAPL)\xe2\x80\xa6 https://t.co/fCh5CXSlRI',0.0
2019-05-27 02:25:55,"b""Join @RobinhoodApp and we'll both get a stock like $AAPL, $F, or $S for free. Make sure to use my link.\n\nhttps://t.co/Mi8KbDPi9O""",0.45
2019-05-27 02:24:29,"b""Join @RobinhoodApp and we'll both get a stock like $AAPL, $F, or $S for free. Make sure to use my link.\n\nhttps://t.co/xfHSLEHfRN""",0.45
2019-05-27 02:22:35,b'RT @ArgentArts: Albrecht #Durer #iPhone #Case\n\nhttps://t.co/WpQa11PA8O\n\n#iphonecase $AAPL https://t.co/if4tzbDv5o',0.0
2019-05-27 02:22:24,"b'$vz 5G, Less Debt, And A Growing Yield, Thats Verizon\n\nhttps://t.co/El2MxkgKeM\n\n\xf0\x9f\x94\xa5Free stock w/sign up:\xe2\x80\xa6 https://t.co/6COKMwp2qh'",-0.16666666666666666
2019-05-27 02:21:38,b'$ba Boeings Troubles Are Everywhere \n\nhttps://t.co/Yck044ipqk\n\n\xf0\x9f\x94\xa5Free stock w/sign up: https://t.co/VPn0jmyb6B \xf0\x9f\x94\xa5\xe2\x80\xa6 https://t.co/6CSMBv9IgB',0.0
2019-05-27 02:19:55,"b""Join @RobinhoodApp and we'll both get a stock like $AAPL, $F, or $S for free. Make sure to use my link.\n\nhttps://t.co/jSsTvw0AWE""",0.45
